File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
Hopper.java,187 (100.0%),132,70.6%,29,15.5%,26,13.9%
Intake.java,157 (45.6%),109,69.4%,24,15.3%,24,15.3%
IntakeControlStyles.java,8 (2.3%),4,50.0%,3,37.5%,1,12.5%
ArticulatedHood.java,307 (46.6%),261,85.0%,23,7.5%,23,7.5%
Shooter.java,372 (36.1%),280,75.3%,62,16.7%,30,8.1%
ShootingControlStyles.java,8 (0.8%),4,50.0%,3,37.5%,1,12.5%
ShootingEnums.java,104 (9.1%),84,80.8%,7,6.7%,13,12.5%
Turret.java,312 (21.4%),216,69.2%,67,21.5%,29,9.3%
BaseController.java,124 (7.9%),84,67.7%,16,12.9%,24,19.4%
BopItBasicController.java,20 (1.3%),10,50.0%,8,40.0%,2,10.0%
ButtonPanelController.java,33 (2.0%),15,45.5%,14,42.4%,4,12.1%
ControllerEnums.java,221 (11.9%),126,57.0%,50,22.6%,45,20.4%
DrumTimeController.java,27 (1.4%),14,51.9%,10,37.0%,3,11.1%
JoystickController.java,85 (4.3%),34,40.0%,44,51.8%,7,8.2%
SixButtonGuitarController.java,27 (1.4%),14,51.9%,10,37.0%,3,11.1%
WiiController.java,36 (1.8%),12,33.3%,21,58.3%,3,8.3%
XBoxController.java,58 (2.8%),26,44.8%,26,44.8%,6,10.3%
DiscordBot.java,62 (2.9%),49,79.0%,6,9.7%,7,11.3%
MessageHandler.java,126 (5.5%),102,81.0%,14,11.1%,10,7.9%
AbstractCommand.java,147 (6.1%),75,51.0%,50,34.0%,22,15.0%
DriveDistanceCommand.java,78 (3.1%),64,82.1%,4,5.1%,10,12.8%
HelpCommand.java,42 (1.7%),36,85.7%,0,0.0%,6,14.3%
OpenURLCommand.java,52 (2.0%),43,82.7%,0,0.0%,9,17.3%
PingCommand.java,73 (2.7%),57,78.1%,9,12.3%,7,9.6%
PlaySongCommand.java,45 (1.7%),32,71.1%,6,13.3%,7,15.6%
RandomQuoteCommand.java,28 (1.0%),23,82.1%,0,0.0%,5,17.9%
RoboPingCommand.java,63 (2.2%),43,68.3%,9,14.3%,11,17.5%
ShutdownServerCommand.java,34 (1.2%),28,82.4%,0,0.0%,6,17.6%
StatusCommand.java,53 (1.8%),39,73.6%,7,13.2%,7,13.2%
Wait5TicksThenReplyCommand.java,42 (1.4%),33,78.6%,0,0.0%,9,21.4%
AbstractDriveManager.java,76 (2.5%),38,50.0%,26,34.2%,12,15.8%
DriveBases.java,9 (0.3%),5,55.6%,3,33.3%,1,11.1%
